milestone_id,task_id,acceptance_criterion,mlflow_metric,mlflow_tag,workspace_template,target_expression,monitoring_frequency
M0,T0.2,"Annotated bibliography ≥40 sources with cross-aim coverage","rkma.sources_total","task:T0.2","lab_notebook_entry","rkma.sources_total >= 40","per-deliverable"
M0,T0.3,"Venue brief identifies ≥3 target venues with policy summaries","pda.target_venues_count","task:T0.3","decision_log","pda.target_venues_count >= 3","per-deliverable"
M0,T0.4,"Metadata schema validated through sample entry","","task:T0.4","lab_notebook_entry","workspace_validation == 'passed'","per-onboarding"
M1,T1.1,"Datasets catalogued with provenance completeness","dpqa.catalog_count","task:T1.1","lab_notebook_entry","dpqa.catalog_count >= 3","per-deliverable"
M1,T1.2,"CI pipeline passes unit/data validation tests","dpqa.validation_pass_rate","task:T1.2","experiment_summary","dpqa.validation_pass_rate >= 0.99","per-commit"
M1,T1.3,"Noise module implemented with ≥3 scenarios","dpqa.noise_scenarios","task:T1.3","lab_notebook_entry","dpqa.noise_scenarios >= 3","per-release"
M1,T1.4,"HEA constraint library validated","mdia.constraints_pass_rate","task:T1.4","lab_notebook_entry","mdia.constraints_pass_rate >= 0.99","per-release"
M1,T1.5,"DFT handoff package validated","mdia.dft_packages_valid","task:T1.5","lab_notebook_entry","mdia.dft_packages_valid >= 1","per-release"
M1,T1.6,"Dataset v1.0 release package published","dpqa.release_version","task:T1.6","lab_notebook_entry","release_version == '1.0.0'","per-release"
M2,T2.1,"Feature-map design brief published","qkaa.feature_map_variants","task:T2.1","lab_notebook_entry","qkaa.feature_map_variants >= 3","per-release"
M2,T2.2,"QSVR prototypes within 10% of classical baseline","qkaa.qsvr_relative_gap","task:T2.2","lab_notebook_entry","qkaa.qsvr_relative_gap <= 0.10","per-release"
M2,T2.3,"Quantum GPR coverage within ±5%","qkaa.coverage_gap","task:T2.3","lab_notebook_entry","abs(qkaa.coverage_gap) <= 0.05","per-experiment"
M2,T2.4,"Classical AL baselines executed","qkaa.al_baseline_runs","task:T2.4","lab_notebook_entry","qkaa.al_baseline_runs >= 1","per-release"
M2,T2.5,"RKMA documentation completed","rkma.provenance_entries","task:T2.5","lab_notebook_entry","rkma.provenance_entries >= 1","per-release"
M3,T3.1,"Generative architecture evaluation completed","qgma.architecture_variants","task:T3.1","lab_notebook_entry","qgma.architecture_variants >= 3","per-release"
M3,T3.2,"Generative model achieves ≥85% valid samples","qgma.valid_sample_rate","task:T3.2","lab_notebook_entry","qgma.valid_sample_rate >= 0.85","per-experiment"
M3,T3.3,"Property conditioning achieves ≥85% compliance","qgma.property_compliance","task:T3.3","lab_notebook_entry","qgma.property_compliance >= 0.85","per-experiment"
M3,T3.4,"Quantum vs classical novelty gap positive","bra.quantum_vs_classical_gap","task:T3.4","lab_notebook_entry","bra.quantum_vs_classical_gap > 0","per-analysis"
M3,T3.5,"Generative artefacts archived with provenance","rkma.generative_provenance_entries","task:T3.5","lab_notebook_entry","rkma.generative_provenance_entries >= 1","per-release"
M4,T4.1,"QAL architecture documentation completed","aloa.architecture_docs","task:T4.1","lab_notebook_entry","aloa.architecture_docs >= 1","per-release"
M4,T4.2,"Acquisition strategies benchmarked","aloa.acquisition_runs","task:T4.2","lab_notebook_entry","aloa.acquisition_runs >= 1","per-release"
M4,T4.3,"QAL orchestration pipeline executed","aloa.orchestration_runs","task:T4.3","lab_notebook_entry","aloa.orchestration_runs >= 1","per-release"
M4,T4.4,"Label-efficiency ≥30% reduction","aloa.label_efficiency_gain","task:T4.4","experiment_summary","aloa.label_efficiency_gain >= 0.30","per-loop"
M4,T4.5,"Gate review completed","pda.gate_decisions","task:T4.5","lab_notebook_entry","pda.gate_decisions >= 1","per-release"
M5,T5.1,"Automated DFT workflow executed","mdia.dft_workflow_runs","task:T5.1","lab_notebook_entry","mdia.dft_workflow_runs >= 1","per-release"
M5,T5.2,"DFT feedback integrated with AL loop","aloa.dft_iterations","task:T5.2","lab_notebook_entry","aloa.dft_iterations >= 1","per-run"
M5,T5.3,"Real DFT run executed","mdia.real_dft_runs","task:T5.3","lab_notebook_entry","mdia.real_dft_runs >= 1","per-run"
M5,T5.5,"DFT workflow packaged for release","rkma.dft_release_docs","task:T5.5","lab_notebook_entry","rkma.dft_release_docs >= 1","per-release"
M5,T5.4,"Significant gains documented","bra.performance_p_value","task:T5.4","experiment_summary","bra.performance_p_value < 0.05","per-analysis"
M6,T6.4,"≥3 hardware runs with cost tracked","qhsoa.hardware_runs","task:T6.4","experiment_summary","qhsoa.hardware_runs >= 3","per-hardware-session"
M7,T7.2,"Stability thresholds identified","bra.sensitivity_index","task:T7.2","experiment_summary","bra.sensitivity_index is not None","per-analysis"
M7,T7.4,"Quantum vs classical benchmark comparison","bra.quantum_vs_classical_gap","task:T7.4","experiment_summary","bra.quantum_vs_classical_gap >= 0","per-analysis"
M8,T8.2,"Pipeline reproduces results in fresh environment","rkma.reproduction_success","task:T8.2","experiment_summary","rkma.reproduction_success == True","per-release"
M9,T9.4,"All blocking comments resolved","rkma.review_blockers","task:T9.4","decision_log","rkma.review_blockers == 0","per-review"
M5-real,T5R.1,"QE production stack + HPC readiness bundle completed","mdia.qe_benchmark_ready","task:T5R.1","lab_notebook_entry","mdia.qe_benchmark_ready == True","per-release"
M5-real,T5R.2,"Real DFT loop executes autonomously","aloa.real_dft_iterations","task:T5R.2","lab_notebook_entry","aloa.real_dft_iterations >= 3","per-run"
M5-real,T5R.3,"Production DFT outputs validated vs references","bra.dft_validation_gap","task:T5R.3","lab_notebook_entry","bra.dft_validation_gap <= 0.05","per-analysis"
M5-real,T5R.4,"Closed loop with real DFT delivers candidates","aloa.real_label_efficiency_gain","task:T5R.4","experiment_summary","aloa.real_label_efficiency_gain >= 0.30","per-loop"
M5-real,T5R.5,"Real DFT release package finalized","rkma.real_dft_release_docs","task:T5R.5","lab_notebook_entry","rkma.real_dft_release_docs >= 1","per-release"
M6,T6.1,"Backend comparison matrix completed","qhsoa.backend_profiles","task:T6.1","experiment_summary","qhsoa.backend_profiles >= 3","per-hardware-session"
M6,T6.2,"QSVR/QGPR hardware transpilation completed","qhsoa.qsvr_transpiled_models","task:T6.2","experiment_summary","qhsoa.qsvr_transpiled_models >= 1","per-hardware-session"
M6,T6.3,"QGMA hardware transpilation completed","qhsoa.qgma_transpiled_models","task:T6.3","experiment_summary","qhsoa.qgma_transpiled_models >= 1","per-hardware-session"
M6,T6.5,"Hardware budget review approved","pda.hardware_budget_updated","task:T6.5","decision_log","pda.hardware_budget_updated == 1","per-milestone"
M7,T7.1,"Metric protocol approved","bra.metric_protocol_ready","task:T7.1","decision_log","bra.metric_protocol_ready == 1","per-analysis"
M8,T8.1,"Final provenance graph compiled","rkma.provenance_graph_nodes","task:T8.1","experiment_summary","rkma.provenance_graph_nodes > 0","per-release"
M9,T9.1,"Manuscript outline and section ownership finalized","rkma.manuscript_outline_complete","task:T9.1","decision_log","rkma.manuscript_outline_complete == 1","per-review"
M9,T9.2,"Technical sections drafted","rkma.technical_sections_complete","task:T9.2","experiment_summary","rkma.technical_sections_complete == 1","per-review"
M9,T9.3,"Narrative sections drafted","rkma.narrative_sections_complete","task:T9.3","experiment_summary","rkma.narrative_sections_complete == 1","per-review"
M9,T9.5,"Submission package finalized","rkma.submission_package_ready","task:T9.5","experiment_summary","rkma.submission_package_ready == 1","per-review"
M9,T9.6,"Submission archive and confirmation logged","pda.submission_archive_logged","task:T9.6","decision_log","pda.submission_archive_logged == 1","per-review"
